sex,age,cost
male,0,433.1013005
male,1,433.1013005
male,2,433.1013005
male,3,433.1013005
male,4,433.1013005
male,5,371.0572797
male,6,371.0572797
male,7,371.0572797
male,8,371.0572797
male,9,371.0572797
male,10,374.4759169
male,11,374.4759169
male,12,374.4759169
male,13,374.4759169
male,14,374.4759169
male,15,399.6246098
male,16,399.6246098
male,17,399.6246098
male,18,399.6246098
male,19,399.6246098
male,20,516.764926
male,21,516.764926
male,22,516.764926
male,23,516.764926
male,24,516.764926
male,25,573.8473247
male,26,573.8473247
male,27,573.8473247
male,28,573.8473247
male,29,573.8473247
male,30,592.4382798
male,31,592.4382798
male,32,592.4382798
male,33,592.4382798
male,34,592.4382798
male,35,643.99857
male,36,643.99857
male,37,643.99857
male,38,643.99857
male,39,643.99857
male,40,689.5019854
male,41,689.5019854
male,42,689.5019854
male,43,689.5019854
male,44,689.5019854
male,45,865.1402671
male,46,865.1402671
male,47,865.1402671
male,48,865.1402671
male,49,865.1402671
male,50,936.4819419
male,51,936.4819419
male,52,936.4819419
male,53,936.4819419
male,54,936.4819419
male,55,1154.14441
male,56,1154.14441
male,57,1154.14441
male,58,1154.14441
male,59,1154.14441
male,60,1355.531288
male,61,1355.531288
male,62,1355.531288
male,63,1355.531288
male,64,1355.531288
male,65,1801.466325
male,66,1801.466325
male,67,1801.466325
male,68,1801.466325
male,69,1801.466325
male,70,2170.725119
male,71,2170.725119
male,72,2170.725119
male,73,2170.725119
male,74,2170.725119
male,75,2844.499073
male,76,2844.499073
male,77,2844.499073
male,78,2844.499073
male,79,2844.499073
male,80,3304.518265
male,81,3304.518265
male,82,3304.518265
male,83,3304.518265
male,84,3304.518265
male,85,3856.249811
male,86,3856.249811
male,87,3856.249811
male,88,3856.249811
male,89,3856.249811
male,90,3856.249811
male,91,3856.249811
male,92,3856.249811
male,93,3856.249811
male,94,3856.249811
male,95,3856.249811
male,96,3856.249811
male,97,3856.249811
male,98,3856.249811
male,99,3856.249811
male,100,3856.249811
female,0,350.6024524
female,1,350.6024524
female,2,350.6024524
female,3,350.6024524
female,4,350.6024524
female,5,329.4295712
female,6,329.4295712
female,7,329.4295712
female,8,329.4295712
female,9,329.4295712
female,10,335.4656851
female,11,335.4656851
female,12,335.4656851
female,13,335.4656851
female,14,335.4656851
female,15,561.3394796
female,16,561.3394796
female,17,561.3394796
female,18,561.3394796
female,19,561.3394796
female,20,789.4579406
female,21,789.4579406
female,22,789.4579406
female,23,789.4579406
female,24,789.4579406
female,25,1026.643149
female,26,1026.643149
female,27,1026.643149
female,28,1026.643149
female,29,1026.643149
female,30,1117.166246
female,31,1117.166246
female,32,1117.166246
female,33,1117.166246
female,34,1117.166246
female,35,1012.063102
female,36,1012.063102
female,37,1012.063102
female,38,1012.063102
female,39,1012.063102
female,40,910.7012311
female,41,910.7012311
female,42,910.7012311
female,43,910.7012311
female,44,910.7012311
female,45,1046.959085
female,46,1046.959085
female,47,1046.959085
female,48,1046.959085
female,49,1046.959085
female,50,1109.069503
female,51,1109.069503
female,52,1109.069503
female,53,1109.069503
female,54,1109.069503
female,55,1248.233083
female,56,1248.233083
female,57,1248.233083
female,58,1248.233083
female,59,1248.233083
female,60,1380.784911
female,61,1380.784911
female,62,1380.784911
female,63,1380.784911
female,64,1380.784911
female,65,1708.269394
female,66,1708.269394
female,67,1708.269394
female,68,1708.269394
female,69,1708.269394
female,70,2044.169114
female,71,2044.169114
female,72,2044.169114
female,73,2044.169114
female,74,2044.169114
female,75,2626.276468
female,76,2626.276468
female,77,2626.276468
female,78,2626.276468
female,79,2626.276468
female,80,3033.922063
female,81,3033.922063
female,82,3033.922063
female,83,3033.922063
female,84,3033.922063
female,85,3453.696665
female,86,3453.696665
female,87,3453.696665
female,88,3453.696665
female,89,3453.696665
female,90,3453.696665
female,91,3453.696665
female,92,3453.696665
female,93,3453.696665
female,94,3453.696665
female,95,3453.696665
female,96,3453.696665
female,97,3453.696665
female,98,3453.696665
female,99,3453.696665
female,100,3453.696665
