sex,age,mortalityRate
male,0,0.004722
male,1,0.000321
male,2,0.000193
male,3,0.000156
male,4,0.000102
male,5,0.000103
male,6,0.000108
male,7,0.000074
male,8,0.000109
male,9,0.000113
male,10,0.000088
male,11,0.000097
male,12,0.00011
male,13,0.000098
male,14,0.000128
male,15,0.000173
male,16,0.00023
male,17,0.000387
male,18,0.000539
male,19,0.000469
male,20,0.000552
male,21,0.000673
male,22,0.000601
male,23,0.000679
male,24,0.000641
male,25,0.00061
male,26,0.000633
male,27,0.000685
male,28,0.000701
male,29,0.000787
male,30,0.00087
male,31,0.000856
male,32,0.000957
male,33,0.000908
male,34,0.001083
male,35,0.00104
male,36,0.001138
male,37,0.001244
male,38,0.001404
male,39,0.001548
male,40,0.001593
male,41,0.001686
male,42,0.001782
male,43,0.001876
male,44,0.002325
male,45,0.002437
male,46,0.002425
male,47,0.002563
male,48,0.002817
male,49,0.002996
male,50,0.003314
male,51,0.003699
male,52,0.004202
male,53,0.00445
male,54,0.004886
male,55,0.005443
male,56,0.006278
male,57,0.006608
male,58,0.007061
male,59,0.007656
male,60,0.008631
male,61,0.009094
male,62,0.010033
male,63,0.011482
male,64,0.011608
male,65,0.013221
male,66,0.014901
male,67,0.016116
male,68,0.017871
male,69,0.019705
male,70,0.021939
male,71,0.024046
male,72,0.026663
male,73,0.02932
male,74,0.032513
male,75,0.036152
male,76,0.039512
male,77,0.044519
male,78,0.050343
male,79,0.054656
male,80,0.062408
male,81,0.070438
male,82,0.077593
male,83,0.086048
male,84,0.098429
male,85,0.109792
male,86,0.120622
male,87,0.134756
male,88,0.149259
male,89,0.167091
male,90,0.195835
male,91,0.198838
male,92,0.226104
male,93,0.264627
male,94,0.295271
male,95,0.316788
male,96,0.340669
male,97,0.36645
male,98,0.421956
male,99,0.420129
male,100,0.532488475
female,0,0.004109
female,1,0.000303
female,2,0.000139
female,3,0.000134
female,4,0.000099
female,5,0.000082
female,6,0.000084
female,7,0.00008
female,8,0.000102
female,9,0.000077
female,10,0.000075
female,11,0.000068
female,12,0.000094
female,13,0.000081
female,14,0.000149
female,15,0.000156
female,16,0.000181
female,17,0.000234
female,18,0.000221
female,19,0.000255
female,20,0.000238
female,21,0.000184
female,22,0.000202
female,23,0.000259
female,24,0.000262
female,25,0.000248
female,26,0.000281
female,27,0.000346
female,28,0.00037
female,29,0.000301
female,30,0.000427
female,31,0.000387
female,32,0.000482
female,33,0.0005
female,34,0.000489
female,35,0.000622
female,36,0.000681
female,37,0.000782
female,38,0.000807
female,39,0.000749
female,40,0.000897
female,41,0.001089
female,42,0.001066
female,43,0.001191
female,44,0.001342
female,45,0.001361
female,46,0.00152
female,47,0.001675
female,48,0.001843
female,49,0.002076
female,50,0.002191
female,51,0.002518
female,52,0.002889
female,53,0.00297
female,54,0.003417
female,55,0.003473
female,56,0.003953
female,57,0.004368
female,58,0.004715
female,59,0.004923
female,60,0.005542
female,61,0.006046
female,62,0.006394
female,63,0.007293
female,64,0.007393
female,65,0.008425
female,66,0.009463
female,67,0.010137
female,68,0.011271
female,69,0.012614
female,70,0.014503
female,71,0.015532
female,72,0.01722
female,73,0.019057
female,74,0.021004
female,75,0.023465
female,76,0.026708
female,77,0.029876
female,78,0.034284
female,79,0.038698
female,80,0.04325
female,81,0.04932
female,82,0.056056
female,83,0.063864
female,84,0.07258
female,85,0.081209
female,86,0.090792
female,87,0.101265
female,88,0.115195
female,89,0.127695
female,90,0.156467
female,91,0.157816
female,92,0.182626
female,93,0.210401
female,94,0.232512
female,95,0.255419
female,96,0.285715
female,97,0.312937
female,98,0.337627
female,99,0.365472
female,100,0.460448519
